"id","cate_id","food_name","alias_name","english_name","edible_part","water","energy","protein","fat","cholesterol","ash","carbohydrate","dietary_fiber","carotene","vitamin_a","vitamin_e","thiamin","riboflavin","niacin","vitamin_c","calcium","phosphorus","potassium","sodium","magnesium","iron","zinc","selenium","copper","manganese","iodine","sfa","mufa","pufa","fatty_acids_total"
"1324","126","饼干(三明治)","","","100%","2.0g","2188kJ","7.1g","30.4g","—","2.6g","57.9g","4.60g","652.0μg","18.0μg","3.20mg","0.10mg","0.17mg","0.60mg","—","178mg","180mg","291mg","408.3mg","19mg","1.7mg","0.48mg","2.70μg","0.13mg","0.28mg","8.3μg","38.3%","21.0%","40.6%","99.9%"
"1325","126","饼干(夹心)","","","100%","1.4g","1928kJ","6.2g","15.9g","0mg","1.2g","75.3g","5.10g","—","49.0μg","—","0.03mg","0.12mg","0.40mg","—","45mg","77mg","242mg","303.4mg","18mg","1.3mg","0.38mg","2.40μg","0.11mg","0.18mg","3.4μg","49.4%","37.9%","12.7%","100.0%"
"1326","126","饼干(甜酥夹心)","商品名：甜酥夹心莱姆柠檬饼干。","","100%","2.3g","2339kJ","5.6g","35.1g","—","1.4g","55.6g","","—","Tr","—","0.08mg","0.07mg","0.73mg","—","17mg","84mg","114mg","324.0mg","13mg","3.0mg","0.24mg","4.90μg","0.18mg","0.30mg","7.4μg","71.1%","24.0%","4.8%","99.9%"
"1327","126","饼干(苏打夹心)","","","100%","1.6g","1983kJ","7.6g","19.3g","—","1.7g","69.8g","5.20g","—","Tr","—","0.06mg","0.11mg","0.82mg","—","26mg","106mg","195mg","394.4mg","18mg","1.3mg","0.66mg","6.10μg","0.17mg","0.21mg","—","75.8%","22.7%","1.9%","100.4%"
"1328","126","曲奇饼(加奶油)","","","100%","1.5g","2202kJ","6.4g","27.2g","—","1.0g","63.9g","","—","—","—","—","—","—","Tr","70mg","—","—","140.0mg","—","1.0mg","—","—","—","—","—","—","—","—","—"
"1337","126","水饺(海鳗猪肉馅)","","","100%","55.9g","1043kJ","14.3g","17.7g","73mg","3.6g","8.5g","","—","—","—","0.20mg","0.12mg","3.10mg","—","11mg","127mg","183mg","678.0mg","16mg","0.4mg","0.80mg","—","—","—","—","38.4%","47.3%","14.5%","100.2%"
"1338","126","水饺(海鳗虾仁馅)","","","100%","54.7g","1114kJ","12.3g","20.0g","103mg","3.3g","9.7g","","—","—","—","0.15mg","0.09mg","4.80mg","—","13mg","103mg","155mg","644.0mg","15mg","0.4mg","0.60mg","—","—","—","—","37.5%","45.2%","18.6%","101.3%"
"1339","126","包子(猪肉馅)","","","100%","52.8g","965kJ","7.3g","10.0g","3mg","1.3g","28.6g","1.70g","—","Tr","—","0.06mg","0.06mg","2.05mg","—","13mg","70mg","283mg","405.8mg","7mg","1.1mg","0.70mg","4.90μg","0.04mg","0.16mg","3.2μg","32.6%","45.4%","21.9%","99.9%"
"1340","127","雪米饼","","","100%","2.5g","1968kJ","5.5g","17.6g","—","0.9g","73.5g","2.90g","—","0.0μg","—","0.02mg","0.02mg","0.44mg","—","6mg","26mg","29mg","241.3mg","2mg","0.3mg","0.49mg","0.90μg","0.11mg","3.04mg","—","56.5%","36.0%","7.5%","100.0%"
"1341","127","蛋酥卷","","","100%","2.1g","2261kJ","8.1g","35.3g","—","0.8g","53.7g","10.60g","1063.0μg","—","—","0.02mg","0.15mg","0.45mg","—","18mg","106mg","150mg","144.9mg","8mg","2.0mg","0.84mg","10.40μg","0.12mg","0.83mg","—","48.2%","39.8%","11.8%","99.9%"
"1342","127","巧克力派","","","100%","11.1g","1813kJ","4.3g","17.7g","—","1.2g","65.7g","3.50g","—","Tr","2.03mg","0.03mg","0.07mg","0.25mg","—","48mg","121mg","144mg","273.8mg","23mg","19.0mg","0.52mg","4.10μg","0.16mg","0.56mg","—","67.8%","32.4%","Tr","100.2%"
"1343","127","法式卷饼","","","100%","2.0g","2272kJ","7.6g","34.0g","—","1.7g","54.7g","5.00g","—","135.0μg","—","0.04mg","0.22mg","0.28mg","—","103mg","151mg","324mg","309.8mg","17mg","1.4mg","0.83mg","5.60μg","0.15mg","0.14mg","17.7μg","45.2%","39.1%","15.8%","100.1%"
"1344","127","立体脆","","","100%","2.6g","2041kJ","6.0g","24.7g","—","2.9g","63.8g","6.60g","—","0.0μg","—","0.87mg","0.07mg","1.45mg","—","56mg","191mg","268mg","596.7mg","72mg","2.5mg","1.32mg","2.80μg","0.15mg","0.75mg","—","50.0%","39.8%","8.7%","98.9%"
